Template version:,1.0.1,"Please see the ""My data sets"" tab at www.pals.unsw.edu.au for detailed instructions on how to use this template. Meta data for this site can be entered when uploading",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
local date,local hour-of-day,SW downward,SWdown FLAG,LW downward,LW down FLAG,Air Temp,Air Temp FLAG,Rel humidity,RelHum FLAG,Windspeed,Windspeed FLAG,Rainfall,Rainf FLAG,Snowfall,Snowf FLAG,Air Pressure,Pressure FLAG,Ambient CO2 conc.,CO2air FLAG,Net Radiation,Rnet FLAG,SW upward,SWup FLAG,Latent heat,LatHeat FLAG,Sensible heat,SensHeat FLAG,NEE,NEE FLAG,SoilHeatFlux,SHFlux FLAG
dd/mm/yyyy," real [0,24)",W/m2,"0 = obs, -9999 = unknown",W/m2,"0 = obs, -9999 = unknown",C,"0 = obs, -9999 = unknown",%,"0 = obs, -9999 = unknown",m/s,"0 = obs, -9999 = unknown",mm/time step,"0 = obs, -9999 = unknown",mm/time step,"0 = obs, -9999 = unknown",mb,"0 = obs, -9999 = unknown",ppmv,"0 = obs, -9999 = unknown",W/m2,"0 = obs, -9999 = unknown",W/m2,"0 = obs, -9999 = unknown",W/m2,"0 = obs, -9999 = unknown",W/m2,"0 = obs, -9999 = unknown",umol m-2 s-2,"0 = obs, -9999 = unknown",W/m2,"0 = obs, -9999 = unknown"
01/01/2002,0.00,0.00,-9999,278.29,-9999,9.77,-9999,51.650000,-9999,2.22,-9999,0.00,-9999,-9999,-9999,859.00,-9999,-9999.00,-9999,-65.58,-9999,0.00,-9999,-1.01,-9999,-9.48,-9999,6.03,-9999,-9999,-9999
01/01/2002,1.00,0.00,-9999,279.63,-9999,9.59,-9999,54.740000,-9999,1.93,-9999,0.00,-9999,-9999,-9999,858.00,-9999,-9999.00,-9999,-48.82,-9999,0.00,-9999,-1.98,-9999,-5.97,-9999,5.88,-9999,-9999,-9999
01/01/2002,2.00,0.00,-9999,279.80,-9999,9.24,-9999,58.080000,-9999,2.54,-9999,0.00,-9999,-9999,-9999,858.00,-9999,-9999.00,-9999,-36.44,-9999,0.00,-9999,-0.37,-9999,-11.82,-9999,5.80,-9999,-9999,-9999
01/01/2002,3.00,0.00,-9999,279.22,-9999,7.89,-9999,65.970000,-9999,2.45,-9999,0.00,-9999,-9999,-9999,859.00,-9999,-9999.00,-9999,-49.48,-9999,0.00,-9999,-0.53,-9999,-10.30,-9999,5.75,-9999,-9999,-9999
01/01/2002,4.00,0.00,-9999,271.19,-9999,6.65,-9999,79.500000,-9999,2.02,-9999,0.00,-9999,-9999,-9999,859.00,-9999,-9999.00,-9999,-54.86,-9999,0.00,-9999,-1.60,-9999,-4.98,-9999,5.65,-9999,-9999,-9999
01/01/2002,5.00,29.16,-9999,274.45,-9999,6.83,-9999,73.060000,-9999,2.70,-9999,0.00,-9999,-9999,-9999,859.00,-9999,-9999.00,-9999,6.29,-9999,4.21,-9999,-18.64,-9999,2.81,-9999,4.56,-9999,-9999,-9999
01/01/2002,6.00,165.15,-9999,287.83,-9999,7.38,-9999,70.950000,-9999,3.76,-9999,0.00,-9999,-9999,-9999,860.00,-9999,-9999.00,-9999,107.22,-9999,22.36,-9999,12.14,-9999,37.44,-9999,-0.20,-9999,-9999,-9999
01/01/2002,7.00,491.38,-9999,284.62,-9999,7.70,-9999,69.390000,-9999,4.65,-9999,0.00,-9999,-9999,-9999,860.00,-9999,-9999.00,-9999,327.32,-9999,66.81,-9999,74.02,-9999,158.95,-9999,-11.65,-9999,-9999,-9999
01/01/2002,8.00,483.55,-9999,293.09,-9999,7.75,-9999,66.720000,-9999,4.06,-9999,0.00,-9999,-9999,-9999,860.00,-9999,-9999.00,-9999,344.58,-9999,57.58,-9999,77.29,-9999,164.56,-9999,-11.18,-9999,-9999,-9999
01/01/2002,9.00,652.85,-9999,300.66,-9999,8.58,-9999,64.660000,-9999,5.06,-9999,0.00,-9999,-9999,-9999,860.00,-9999,-9999.00,-9999,493.21,-9999,75.35,-9999,112.03,-9999,255.41,-9999,-16.95,-9999,-9999,-9999
01/01/2002,10.00,636.15,-9999,309.06,-9999,9.31,-9999,64.060000,-9999,5.24,-9999,0.00,-9999,-9999,-9999,859.00,-9999,-9999.00,-9999,482.49,-9999,71.59,-9999,118.66,-9999,238.56,-9999,-16.09,-9999,-9999,-9999
01/01/2002,11.00,703.83,-9999,316.64,-9999,10.54,-9999,60.170000,-9999,4.78,-9999,0.00,-9999,-9999,-9999,859.00,-9999,-9999.00,-9999,544.57,-9999,78.50,-9999,147.71,-9999,270.44,-9999,-18.30,-9999,-9999,-9999
01/01/2002,12.00,795.28,-9999,318.45,-9999,11.35,-9999,54.940000,-9999,6.79,-9999,0.00,-9999,-9999,-9999,859.00,-9999,-9999.00,-9999,610.60,-9999,88.12,-9999,175.05,-9999,318.27,-9999,-21.35,-9999,-9999,-9999
01/01/2002,13.00,493.23,-9999,318.29,-9999,11.91,-9999,50.070000,-9999,6.78,-9999,0.00,-9999,-9999,-9999,858.00,-9999,-9999.00,-9999,375.24,-9999,56.08,-9999,116.10,-9999,150.63,-9999,-10.43,-9999,-9999,-9999
01/01/2002,14.00,151.75,-9999,318.74,-9999,11.66,-9999,52.250000,-9999,5.67,-9999,0.00,-9999,-9999,-9999,858.00,-9999,-9999.00,-9999,104.08,-9999,17.69,-9999,12.03,-9999,19.76,-9999,1.55,-9999,-9999,-9999
01/01/2002,15.00,98.45,-9999,316.88,-9999,11.53,-9999,51.760000,-9999,5.22,-9999,0.00,-9999,-9999,-9999,858.00,-9999,-9999.00,-9999,62.24,-9999,11.37,-9999,-2.99,-9999,6.20,-9999,3.24,-9999,-9999,-9999
01/01/2002,16.00,188.35,-9999,314.55,-9999,11.41,-9999,55.150000,-9999,4.23,-9999,0.00,-9999,-9999,-9999,858.00,-9999,-9999.00,-9999,132.38,-9999,22.45,-9999,21.33,-9999,29.96,-9999,-0.07,-9999,-9999,-9999
